"","week","richness_id","density_id","rep","sown_seeds","cum_germ_perc_ciar","cum_germ_perc_res","mean_mgt","mean_mgr"
"1",12,"M1","D3","A5",400,0.4,0.22,4.76666666666667,0.20979020979021
"2",12,"M1","D2","O4",200,0.2,0.54,3.75925925925926,0.266009852216749
"3",12,"M1","D3","H2",400,0.2,0.05,2.94736842105263,0.339285714285714
"4",12,"M2","D3","1",400,0.35,0.21,5.58636897767333,0.179007151872108
"5",12,"M1","D3","R2",400,0.5,0.22,2.26436781609195,0.441624365482233
"6",12,"M1","D2","M3",200,0.5,0.54,2.93457943925234,0.340764331210191
"7",12,"M2","D3","3",400,0.4,0.37,2.78814432989691,0.358661490109077
"8",12,"M1","D1","H3",48,0.3,0.02,5,0.2
"9",12,"M1","D3","M5",400,0.15,0.49,3.00507614213198,0.33277027027027
"10",12,"M4","D3","3",400,0.4,0.31,3.88364864864865,0.257489822192839
"11",12,"M1","D3","A1",400,0.4,0.26,5.00961538461539,0.199616122840691
"12",12,"M1","D2","H4",200,0.3,0.06,3.63636363636364,0.275
"13",12,"M1","D2","A5",200,0.35,0.16,6.48387096774194,0.154228855721393
"14",12,"M4","D1","4",48,0.1,0.21,3,0.333333333333333
"15",12,"M1","D2","R5",200,0.45,0.36,4.68493150684932,0.213450292397661
"16",12,"M1","D2","M2",200,0.25,0.46,4.95604395604396,0.201773835920177
"17",12,"M2","D1","1",48,0.3,0.17,5.64285714285714,0.177215189873418
"18",12,"M2","D2","4",200,0.3,0.34,5.81576402321083,0.171946453812256
"19",12,"M1","D2","H5",200,0.35,0.11,2.59090909090909,0.385964912280702
"20",12,"M1","D3","R5",400,0.35,0.31,4.04838709677419,0.247011952191235
"21",12,"M1","D3","A3",400,0.15,0.21,4.25,0.235294117647059
"22",12,"M1","D3","H4",400,0.4,0.07,5,0.2
"23",12,"M4","D3","1",400,0.4,0.23,5.09628378378378,0.196221411998674
"24",12,"M1","D1","H1",48,0.45,0.15,3.28571428571429,0.304347826086957
"25",12,"M1","D1","O1",48,0.35,0.52,3.36,0.297619047619048
"26",12,"M1","D2","M5",200,0.2,0.42,4.36470588235294,0.22911051212938
"27",12,"M1","D3","M2",400,0.5,0.33,2.14503816793893,0.466192170818505
"28",12,"M1","D3","O4",400,0.45,0.52,4,0.25
"29",12,"M4","D1","3",48,0,0.42,5.15773809523809,0.193883439122908
"30",12,"M1","D2","A1",200,0.2,0.18,6.64864864864865,0.150406504065041
"31",12,"M1","D1","M3",48,0.35,0.33,5.5625,0.179775280898876
"32",12,"M4","D3","2",400,0.35,0.25,4.70843253968254,0.212384905501359
"33",12,"M2","D2","1",200,0.3,0.3,4.69444444444444,0.21301775147929
"34",12,"M1","D1","A5",48,0.45,0.25,4.66666666666667,0.214285714285714
"35",12,"M1","D3","O2",400,0.55,0.42,NA,NA
"36",12,"M1","D1","R2",48,0.3,0.4,3.94736842105263,0.253333333333333
"37",12,"M4","D3","4",400,0.55,0.33,4.59735318444996,0.21751646216401
"38",12,"M1","D3","O5",400,0.15,0.62,3.64658634538153,0.274229074889868
"39",12,"M1","D1","R4",48,0.25,0.46,6.31818181818182,0.158273381294964
"40",12,"M1","D1","A4",48,0.4,0.27,7.38461538461539,0.135416666666667
"41",12,"M1","D3","M1",400,0.25,0.44,3.65730337078652,0.273425499231951
"42",12,"M1","D3","R3",400,0.25,0.3,4.16101694915254,0.240325865580448
"43",12,"M4","D3","5",400,0.4,0.36,3.03703984915784,0.329267987799797
"44",12,"M4","D1","2",48,0.4,0.23,5.0375,0.198511166253102
"45",12,"M1","D2","R3",200,0.3,0.26,5.88461538461539,0.169934640522876
"46",12,"M1","D2","O2",200,0.45,0.51,6.69607843137255,0.149341142020498
"47",12,"M1","D1","M2",48,0.4,0.48,3.73913043478261,0.267441860465116
"48",12,"M1","D3","A2",400,0.55,0.25,4.34343434343434,0.230232558139535
"49",12,"M1","D2","A3",200,0.55,0.22,5.74418604651163,0.174089068825911
"50",12,"M1","D2","R1",200,0.45,0.42,4.10714285714286,0.243478260869565
"51",12,"M1","D2","H2",200,0.3,0.06,4.81818181818182,0.207547169811321
"52",12,"M1","D3","M3",400,0.3,0.56,3.14601769911504,0.317862165963432
"53",12,"M1","D3","R1",400,0.35,0.5,4.07,0.245700245700246
"54",12,"M1","D1","O3",48,0.55,0.77,3.75675675675676,0.266187050359712
"55",12,"M1","D1","M5",48,0.25,0.48,3.73913043478261,0.267441860465116
"56",12,"M4","D2","2",200,0.2,0.24,4.06927083333333,0.245744272366569
"57",12,"M1","D2","M4",200,0.2,0.22,3.56818181818182,0.280254777070064
"58",12,"M1","D1","M1",48,0.45,0.38,3.72222222222222,0.26865671641791
