"","richness_id","density_id","rep","sown_seeds_res","inv_roots_bm_g","inv_abg_bm_g","cum_germ_perc_ciar","mean_rgr_height_ciar","res_root_bm_g","res_abg_bm_g","realized_sr","mean_rgr_height_res","cum_germ_perc_res","mean_mgr","wds_sla"
"1","M1","D1","A1",48,3.2769,3.0228,0.3,NA,4.8485,2.0976,1,NA,0.04,0.4,0.115172413793103
"2","M1","D1","A2",48,0.1208,0.4963,0.4,0.051,5.092,1.2128,1,0.01,0.1,0.277777777777778,0.115172413793103
"3","M1","D1","A3",48,1.3982,2.9307,0.4,0.027,9.4802,1.1239,1,0.01,0.17,0.266666666666667,0.115172413793103
"4","M1","D1","A4",48,7.4093,3.5923,0.4,0.07,0.6906,0.3614,1,0.07,0.27,0.135416666666667,0.115172413793103
"5","M1","D1","A5",48,3.3303,3.734,0.45,0.021,5.63,1.5738,1,0.02,0.25,0.214285714285714,0.115172413793103
"6","M1","D1","H1",48,1.3993,1.7489,0.45,0.015,0.8248,0.6721,1,0.02,0.15,0.304347826086957,0.225172413793103
"7","M1","D1","H2",48,1.7257,5.5462,0.45,0.031,3.1917,0.1934,1,0.01,0.06,0.166666666666667,0.225172413793103
"8","M1","D1","H3",48,4.8559,2.7047,0.3,0.06,0,0,1,NA,0.02,0.2,NA
"9","M1","D1","H4",48,6.5674,4.2617,0.4,0.037,0.002,0,1,0.04,0.04,0.153846153846154,NA
"10","M1","D1","H5",48,3.0937,1.654,0.4,0.06,0.0092,0.0092,1,0.06,0.06,0.107142857142857,0.225172413793103
"11","M1","D1","M1",48,1.8943,1.8021,0.45,0.034,12.5771,4.4254,1,0.03,0.38,0.26865671641791,0.0651724137931034
"12","M1","D1","M2",48,2.6581,1.6648,0.4,0.023,11.5527,3.5527,1,0.03,0.48,0.267441860465116,0.0651724137931034
"13","M1","D1","M3",48,1.9191,2.6578,0.35,0.067,8.676,2.645,1,0.07,0.33,0.179775280898876,0.0651724137931034
"14","M1","D1","M4",48,0.1968,0.7724,0.55,0.018,11.1978,4.9158,1,0.03,0.33,0.307692307692308,0.0651724137931034
"15","M1","D1","M5",48,2.9253,2.2933,0.25,0.029,3.717,3.6109,1,0.02,0.48,0.267441860465116,0.0651724137931034
