date_ymd,week,tray_id,recorded_by,typed_by,spp,cum_germ,sown_seeds,cum_germ_perc,comment
2023-03-28,1,M1-D1-O3,GX,JD,OEBI,8,48,0.17,
2023-03-28,1,M1-D1-O3,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M1-D2-R5,GX,JD,RUHI,29,200,0.15,
2023-03-28,1,M1-D2-R5,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M1-D3-A3,GX,JD,ANGE,9,400,0.02,
2023-03-28,1,M1-D3-A3,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M1-D1-A3,GX,JD,ANGE,1,48,0.02,
2023-03-28,1,M1-D1-A3,GX,JD,CIAR,1,20,0.05,
2023-03-28,1,M2-D2-1,GX,JD,CIAR,2,20,0.10,
2023-03-28,1,M2-D2-1,GX,JD,RUHI,23,100,0.23,
2023-03-28,1,M2-D2-1,GX,JD,HEHE,1,100,0.01,
2023-03-28,1,S03,GX,JD,-,0,,,
2023-03-28,1,M1-D3-R4,GX,JD,RUHI,49,400,0.12,
2023-03-28,1,M1-D3-R4,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M2-D2-5,GX,JD,CIAR,1,20,0.05,
2023-03-28,1,M2-D2-5,GX,JD,RUHI,12,100,0.12,
2023-03-28,1,M2-D2-5,GX,JD,ANGE,3,100,0.03,
2023-03-28,1,M1-D3-O2,GX,JD,OEBI,77,400,0.19,
2023-03-28,1,M1-D3-O2,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M1-D2-R2,GX,JD,RUHI,18,200,0.09,
2023-03-28,1,M1-D2-R2,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,S01,GX,JD,-,0,,,
2023-03-28,1,M4-D3-5,GX,JD,OEBI,37,100,0.37,
2023-03-28,1,M4-D3-5,GX,JD,RUHI,31,100,0.31,
2023-03-28,1,M4-D3-5,GX,JD,HEHE,4,100,0.04,
2023-03-28,1,M4-D3-5,GX,JD,MOFI,1,100,0.01,
2023-03-28,1,S02,GX,JD,-,0,,,
2023-03-28,1,M2-D3-1,GX,JD,ANGE,3,200,0.02,
2023-03-28,1,M2-D3-1,GX,JD,RUHI,11,200,0.06,
2023-03-28,1,M2-D3-1,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M1-D1-R4,GX,JD,RUHI,6,48,0.13,
2023-03-28,1,M1-D1-R4,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M1-D2-O2,GX,JD,OEBI,12,200,0.06,
2023-03-28,1,M1-D2-O2,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M1-D1-A2,GX,JD,ANGE,0,48,0.00,
2023-03-28,1,M1-D1-A2,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M1-D1-R1,GX,JD,RUHI,6,48,,
2023-03-28,1,M1-D1-R1,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M4-D3-2,GX,JD,OEBI,6,100,0.06,
2023-03-28,1,M4-D3-2,GX,JD,MOFI,1,100,0.01,
2023-03-28,1,M4-D3-2,GX,JD,HEHE,1,100,0.01,
2023-03-28,1,M4-D3-2,GX,JD,ANGE,1,100,0.01,
2023-03-28,1,M4-D3-2,GX,JD,CIAR,0,20,0.00,
2023-03-28,1,M4-D1-3,GX,JD,OEBI,4,12,0.33,
2023-03-28,1,M4-D1-3,GX,JD,MOFI,1,12,0.08,
2023-03-28,1,M4-D1-3,GX,JD,RUHI,1,12,0.08,
2023-03-28,1,M4-D1-3,GX,JD,CIAR,0,20,0.00,
