Record_date_ymd,Tray_ID,Species,Rep,Germination,Sown seeds
2023-01-20,RUHI-1,RUHI,1,0,100
2023-01-20,RUHI-2,RUHI,2,0,100
2023-01-20,RUHI-3,RUHI,3,0,100
2023-01-20,CONTROL-1,CONTROL,1,0,100
2023-01-20,CONTROL-2,CONTROL,2,0,100
2023-01-20,CONTROL-3,CONTROL,3,0,100
2023-01-20,OEBI-1,OEBI,1,0,100
2023-01-20,OEBI-2,OEBI,2,0,100
2023-01-20,OEBI-3,OEBI,3,0,100
2023-01-20,MOFI-1,MOFI,1,0,100
2023-01-20,MOFI-2,MOFI,2,0,100
2023-01-20,MOFI-3,MOFI,3,0,100
2023-01-20,HEHE-1,HEHE,1,0,100
2023-01-20,HEHE-2,HEHE,2,0,100
2023-01-20,HEHE-3,HEHE,3,0,100
2023-01-20,ANGE-1,ANGE,1,0,100
2023-01-20,ANGE-2,ANGE,2,0,100
2023-01-20,ANGE-3,ANGE,3,0,100
2023-01-20,ASSY-1,ASSY,1,0,100
2023-01-20,ASSY-2,ASSY,2,0,100
2023-01-20,ASSY-3,ASSY,3,0,100
2023-01-20,CIAR-1,CIAR,1,0,100
2023-01-20,CIAR-2,CIAR,2,0,100
2023-01-20,CIAR-3,CIAR,3,0,100
2023-01-26,RUHI-1,RUHI,1,10,100
2023-01-26,RUHI-2,RUHI,2,7,100
2023-01-26,RUHI-3,RUHI,3,1,100
2023-01-26,CONTROL-1,CONTROL,1,0,100
2023-01-26,CONTROL-2,CONTROL,2,0,100
2023-01-26,CONTROL-3,CONTROL,3,0,100
2023-01-26,OEBI-1,OEBI,1,0,100
2023-01-26,OEBI-2,OEBI,2,0,100
2023-01-26,OEBI-3,OEBI,3,0,100
2023-01-26,MOFI-1,MOFI,1,0,100
2023-01-26,MOFI-2,MOFI,2,0,100
2023-01-26,MOFI-3,MOFI,3,0,100
2023-01-26,HEHE-1,HEHE,1,0,100
2023-01-26,HEHE-2,HEHE,2,0,100
2023-01-26,HEHE-3,HEHE,3,0,100
2023-01-26,ANGE-1,ANGE,1,0,100
2023-01-26,ANGE-2,ANGE,2,0,100
2023-01-26,ANGE-3,ANGE,3,0,100
2023-01-26,ASSY-1,ASSY,1,0,100
2023-01-26,ASSY-2,ASSY,2,0,100
2023-01-26,ASSY-3,ASSY,3,0,100
2023-01-26,CIAR-1,CIAR,1,0,100
2023-01-26,CIAR-2,CIAR,2,0,100
2023-01-26,CIAR-3,CIAR,3,0,100
2023-01-30,CONTROL-3,CONTROL,3,0,100
2023-01-30,HEHE-3,HEHE,3,1,100
2023-01-30,CIAR-3,CIAR,3,0,100
2023-01-30,CIAR-1,CIAR,1,0,100
2023-01-30,ASSY-3,ASSY,3,0,100
2023-01-30,ANGE-2,ANGE,2,5,100
2023-01-30,HEHE-2,HEHE,2,0,100
2023-01-30,RUHI-1,RUHI,1,15,100
2023-01-30,ASSY-1,ASSY,1,0,100
2023-01-30,RUHI-3,RUHI,3,37,100
2023-01-30,MOFI-3,MOFI,3,2,100
2023-01-30,OEBI-3,OEBI,3,1,100
2023-01-30,CONTROL-3,CONTROL,3,0,100
2023-01-30,MOFI-2,MOFI,2,1,100
2023-01-30,OEBI-1,OEBI,1,28,100
2023-01-30,OEBI-2,OEBI,2,4,100
2023-01-30,ANGE-1,ANGE,1,1,100
2023-01-30,HEHE-1,HEHE,1,2,100
2023-01-30,RUHI-2,RUHI,2,53,100
2023-01-30,ANGE-3,ANGE,3,3,100
2023-01-30,CONTROL-2,CONTROL,2,0,100
2023-01-30,CIAR-2,CIAR,2,0,100
2023-01-30,ASSY-2,ASSY,2,0,100
2023-01-30,MOFI-1,MOFI,1,0,100
2023-02-02,ANGE-2,ANGE,2,9,100
2023-02-02,CONTROL-2,CONTROL,2,0,100
2023-02-02,HEHE-3,HEHE,3,3,100
2023-02-02,CIAR-3,CIAR,3,4,100
2023-02-02,CIAR-1,CIAR,1,0,100
2023-02-02,ASSY-3,ASSY,3,0,100
2023-02-02,HEHE-2,HEHE,2,0,100
2023-02-02,RUHI-1,RUHI,1,23,100
2023-02-02,MOFI-3,MOFI,3,3,100
2023-02-02,RUHI-3,RUHI,3,44,100
2023-02-02,OEBI-3,OEBI,3,8,100
2023-02-02,MOFI-2,MOFI,2,7,100
2023-02-02,ANGE-3,ANGE,3,11,100
2023-02-02,CIAR-2,CIAR,2,0,100
2023-02-02,OEBI-2,OEBI,2,19,100
2023-02-02,OEBI-1,OEBI,1,44,100
2023-02-02,MOFI-1,MOFI,1,5,100
2023-02-02,RUHI-2,RUHI,2,64,100
2023-02-02,HEHE-1,HEHE,1,2,100
2023-02-02,ANGE-1,ANGE,1,4,100
2023-02-02,CONTROL-1,CONTROL,1,0,100
2023-02-02,CONTROL-3,CONTROL,3,0,100
2023-02-02,ASSY-1,ASSY,1,0,100
2023-02-02,ASSY-2,ASSY,2,0,100
2023-02-06,ANGE-2,ANGE,2,14,100
2023-02-06,HEHE-3,HEHE,3,5,100
2023-02-06,CIAR-3,CIAR,3,37,100
2023-02-06,CIAR-1,CIAR,1,23,100
2023-02-06,ASSY-3,ASSY,3,0,100
2023-02-06,HEHE-2,HEHE,2,3,100
2023-02-06,RUHI-1,RUHI,1,32,100
2023-02-06,ASSY-1,ASSY,1,0,100
2023-02-06,ASSY-2,ASSY,2,0,100
2023-02-06,MOFI-3,MOFI,3,6,100
2023-02-06,RUHI-3,RUHI,3,54,100
2023-02-06,OEBI-3,OEBI,3,28,100
2023-02-06,MOFI-2,MOFI,2,7,100
2023-02-06,RUHI-2,RUHI,2,59,100
2023-02-06,CONTROL-3,CONTROL,3,0,100
2023-02-06,ANGE-1,ANGE,1,7,100
2023-02-06,HEHE-1,HEHE,1,7,100
2023-02-06,MOFI-1,MOFI,1,7,100
2023-02-06,CONTROL-1,CONTROL,1,0,100
2023-02-06,OEBI-1,OEBI,1,48,100
2023-02-06,OEBI-2,OEBI,2,31,100
2023-02-06,CIAR-2,CIAR,2,19,100
2023-02-06,ANGE-3,ANGE,3,11,100
2023-02-06,CONTROL-2,CONTROL,2,0,100
2023-02-10,ANGE-2,ANGE,2,18,100
2023-02-10,CONTROL-2,CONTROL,2,0,100
2023-02-10,ASSY-3,ASSY,3,0,100
2023-02-10,HEHE-3,HEHE,3,11,100
2023-02-10,CIAR-3,CIAR,3,48,100
2023-02-10,CIAR-1,CIAR,1,36,100
2023-02-10,HEHE-2,HEHE,2,6,100
2023-02-10,RUHI-1,RUHI,1,40,100
2023-02-10,ASSY-1,ASSY,1,0,100
2023-02-10,ASSY-2,ASSY,2,0,100
2023-02-10,MOFI-3,MOFI,3,8,100
2023-02-10,RUHI-3,RUHI,3,52,100
2023-02-10,OEBI-3,OEBI,3,39,100
2023-02-10,MOFI-2,MOFI,2,7,100
2023-02-10,RUHI-2,RUHI,2,64,100
2023-02-10,ANGE-3,ANGE,3,14,100
2023-02-10,MOFI-1,MOFI,1,7,100
2023-02-10,CIAR-2,CIAR,2,25,100
2023-02-10,OEBI-2,OEBI,2,35,100
2023-02-10,HEHE-1,HEHE,1,8,100
2023-02-10,ANGE-1,ANGE,1,10,100
2023-02-10,OEBI-1,OEBI,1,60,100
2023-02-10,CONTROL-1,CONTROL,1,0,100
2023-02-10,CONTROL-3,CONTROL,3,0,100
