date,recorder_id,Richness_ID,Density_ID,Rep,species,ind,leaf_rep,biomass_mg,comments
2023-06-28,JD,M1,D3,H2,HEHE,1,1,17,
2023-06-28,JD,M1,D2,H1,HEHE,5,1,25,
2023-06-28,JD,M1,D3,H5,HEHE,3,2,27,
2023-06-28,JD,M1,D2,H4,HEHE,1,2,16,
2023-06-30,JD,M1,D3,A2,ANGE,2,1,18,
2023-06-28,JD,M1,D1,H2,HEHE,4,1,2,
2023-06-29,JD,M1,D1,M1,MOFI,5,1,45,
2023-06-28,JD,M1,D1,H3,HEHE,3,2,1,
2023-06-28,JD,M1,D1,H5,HEHE,2,1,1,
2023-06-29,JD,M1,D3,M5,MOFI,3,1,26,
2023-06-28,JD,M1,D1,H3,HEHE,3,1,2,
2023-06-30,JD,M1,D1,O2,OEBI,5,1,88,
2023-06-30,JD,M1,D1,O4,OEBI,2,2,94,
2023-06-30,JD,M1,D1,O2,OEBI,5,5,67,
2023-06-29,JD,M1,D2,R2,RUHI,5,3,55,
2023-06-30,JD,M1,D1,A1,ANGE,4,3,29,
2023-06-29,JD,M1,D3,M4,MOFI,5,1,21,
2023-06-29,JD,M1,D2,M3,MOFI,3,5,21,
2023-06-30,JD,M1,D2,O5,OEBI,3,4,43,
2023-06-30,JD,M1,D3,A1,ANGE,3,2,17,
2023-06-30,JD,M1,D3,A1,ANGE,3,1,7,
2023-06-29,JD,M1,D1,R3,RUHI,1,3,38,
2023-06-29,JD,M1,D3,M3,MOFI,2,5,15,
2023-06-30,JD,M1,D1,O1,OEBI,1,4,66,
2023-06-28,JD,M1,D3,H2,HEHE,1,3,23,
2023-06-29,JD,M1,D2,M2,MOFI,5,1,24,
2023-06-28,JD,M1,D1,H2,HEHE,4,2,1,
2023-06-28,JD,M1,D3,H5,HEHE,3,3,50,
2023-06-28,JD,M1,D2,H3,HEHE,4,2,10,
2023-06-28,JD,M1,D2,H4,HEHE,1,1,30,
2023-06-28,JD,M1,D3,H1,HEHE,2,1,5,
2023-06-30,JD,M1,D1,A3,ANGE,3,4,32,
2023-06-30,JD,M1,D3,A2,ANGE,2,3,18,
2023-06-29,JD,M1,D2,M3,MOFI,3,4,22,
2023-06-30,JD,M1,D2,A3,ANGE,2,4,6,
2023-06-28,JD,M1,D1,H1,HEHE,1,1,19,
2023-06-29,JD,M1,D3,R1,RUHI,1,2,87,
2023-06-29,JD,M1,D2,R4,RUHI,2,4,18,
2023-06-29,JD,M1,D2,R2,RUHI,5,4,29,
2023-06-29,JD,M1,D2,R4,RUHI,2,3,40,
2023-06-29,JD,M1,D1,R3,RUHI,1,5,61,
2023-06-29,JD,M1,D2,R5,RUHI,3,4,56,
2023-06-29,JD,M1,D3,M4,MOFI,5,5,16,
2023-06-29,JD,M1,D3,M2,MOFI,1,2,20,
2023-06-29,JD,M1,D1,M3,MOFI,4,3,55,
2023-06-29,JD,M1,D1,M3,MOFI,4,4,33,
2023-06-29,JD,M1,D3,M1,MOFI,4,1,7,
2023-06-29,JD,M1,D3,M1,MOFI,4,2,6,
2023-06-29,JD,M1,D1,M3,MOFI,4,2,57,
2023-06-29,JD,M1,D1,M3,MOFI,4,5,34,
2023-06-29,JD,M1,D1,R2,RUHI,2,4,32,
2023-06-29,JD,M1,D2,R2,RUHI,5,2,60,
2023-06-29,JD,M1,D3,R3,RUHI,4,1,28,
2023-06-29,JD,M1,D1,M2,MOFI,1,1,62,
2023-06-29,JD,M1,D3,M3,MOFI,2,1,18,
2023-06-29,JD,M1,D2,R1,RUHI,1,3,60,
2023-06-29,JD,M1,D1,R4,RUHI,5,5,27,
2023-06-29,JD,M1,D1,M5,MOFI,3,2,18,
