Date_ymd,Recorder,Richness_ID,Density_ID,Rep,Biomass_Type,Species_ID,Individual_ID,Biomass_g,Bag_type,Comments,
2023-07-22,JD,M4,D3,1,AB,ANGE,-,0.2202,E,,
2022-07-23,GX,M1,D3,H2,AB,CIAR,-,2.8076,S,,
2023-07-21,JD,M4,D2,1,AB,ANGE,-,1.7256,S,,
2023-07-20,JD,M1,D3,R1,AB,RUHI,-,6.3009,S,,
2023-07-22,JD,M4,D3,1,BM,ANGE,-,0.2358,E,,
2023-07-23,GX,M1,-,C1,BM,CIAR,-,0.5109,S,,
2023-07-19,JD,M1,D3,M1,BM,MOFI,-,7.2531,S,,
2023-07-22,JD,M4,D3,1,BM,HEHE,-,0.1335,E,,
2023-07-21,JD,M2,D3,1,AB,ANGE,-,1.5461,S,,
2023-07-22,JD,M4,D3,1,AB,HEHE,-,0.1466,E,,
2023-07-21,JD,M4,D2,1,BM,CIAR,C01,0.0381,E,Individual 1 (JD),
2023-07-21,JD,M2,D3,1,AB,CIAR,C04,0.0041,E,Individual 4 (JD),
2023-07-21,JD,M4,D2,1,BM,CIAR,-,0.0847,E,Unsorted root biomass (JD),
2023-07-21,JD,M4,D2,1,BM,CIAR,C02,0.006,E,Individual 2 (JD),
2023-07-21,JD,M4,D2,1,AB,CIAR,C02,0.0934,E,Individual 2 (JD),
2023-07-21,JD,M1,D1,4,AB,CIAR,C04,0.7930,S,Individual 4 (JD),
2023-07-27,JD,M4,D3,1,AB,CIAR,C08,0.0083,E,Individual 8 (JD),
2023-07-20,JD,M2,D2,1,AB,RUHI,-,8.0399,S,,
2023-07-21,JD,M2,D1,4,AB,OEBI,-,2.866,S,"Possible typo where ""M1"" by JD is relabelled as ""M2"" by GX",
2023-07-21,JD,M4,D2,1,BM,CIAR,C04,0.0034,E,Individual 4 (JD),
2023-07-14,RC,M1,D1,R1,AB,RUHI,-,3.4162,S,,
2023-07-21,JD,M2,D1,4,BM,OEBI,-,0.5948,S,"Possible typo where ""M1"" by JD is relabelled as ""M2"" by GX",
2023-07-22,JD,M4,D3,1,AB,CIAR,C06,0.0049,E,Individual 6 (JD),
2023-07-21,JD,M4,D2,1,AB,CIAR,C06,0.0569,E,Individual 6 (JD),
2023-07-23,JD,M1,D1,H2,BM,CIAR,-,0.7663,S,,
2023-07-21,JD,M4,D2,1,BM,CIAR,C06,0.0089,E,Individual 6 (JD),
2023-07-22,JD,M4,D3,1,BM,CIAR,C06,0.0025,E,Individual 6 (JD),
2023-07-22,JD,M4,D3,1,AB,CIAR,C07,0.0027,E,Individual 7 (JD),
2023-07-21,JD,M2,D3,1,BM,CIAR,C04,0.0006,E,Individual 4 (JD),
2023-07-21,JD,M4,D2,1,AB,CIAR,C05,0.0239,E,Individual 5 (JD),
2023-07-22,JD,M4,D3,1,BM,CIAR,C07,0.0002,E,Individual 7 (JD),
2023-07-22,JD,M4,D3,1,AB,CIAR,C05,0.0028,E,Individual 5 (JD),
2023-07-19,JD,M1,D3,A1,BM,ANGE,-,7.1749,S,,
2023-07-20,JD,M1,D2,A1,AB,ANGE,-,4.7141,S,,
2023-07-25,JD,M1,D3,H3,BM,CIAR,-,0.8847,S,Unsorted root biomass (JD),
2023-07-19,JD,M1,D3,M1,AB,MOFI,-,5.3305,S,,
2023-07-21,JD,M4,D2,1,BM,CIAR,C05,0.0057,E,Individual 5 (JD),
2023-07-21,JD,M4,D2,1,AB,CIAR,C07,0.0056,E,Individual 7 (JD),
2023-07-20,RC,M2,D2,1,BM,RUHI,-,6.7504,S,,
2023-07-18,RC,M1,D3,M2,AB,MOFI,-,3.4421,S,,
2023-07-23,JD,M1,D1,H2,AB,CIAR,-,2.6327,S,,
2023-07-21,JD,M1,D1,4,BM,CIAR,-,0.8298,S,Unsorted root biomass (JD),
2023-07-21,JD,M2,D3,1,BM,CIAR,C03,0.0022,E,Individual 3 (JD),
2023-07-22,JD,M4,D3,1,BM,CIAR,C04,0.0238,E,Individual 4 (JD),
2023-07-20,JD,M2,D2,1,BM,CIAR,C01,0.0587,E,,
2023-07-19,JD,M1,D3,A1,AB,ANGE,-,4.8946,S,,
2023-07-22,JD,M4,D3,1,AB,CIAR,C04,0.093,E,Individual 4 (JD),
2023-07-18,RC,M1,D2,R1,BM,RUHI,-,9.5045,S,,
2023-07-20,JD,M1,D2,A1,BM,ANGE,-,7.8241,S,,
2023-07-22,JD,M4,D3,1,BM,CIAR,C03,0.0173,E,Individual 3 (JD),
2023-07-20,JD,M2,D2,1,AB,HEHE,-,0.1989,E,,
2023-07-18,RC,M1,D2,R1,AB,RUHI,-,4.751,S,,
2023-07-19,RC,M1,D3,A2,AB,ANGE,-,5.9189,S,,
