"","Richness_ID","Density_ID","Rep","res_root_bm_g","inv_roots_bm_g","res_abg_bm_g","realized_sr","inv_abg_bm_g","num_invaders"
"1","M1","D1","A1",4.8485,3.2769,2.0976,1,3.0228,6
"2","M1","D1","A2",5.092,0.1208,1.2128,1,0.4963,6
"3","M1","D1","A3",9.4802,1.3982,1.1239,1,2.9307,9
"4","M1","D1","A4",0.6906,7.4093,0.3614,1,3.5923,9
"5","M1","D1","A5",5.63,3.3303,1.5738,1,3.734,8
"6","M1","D1","H1",0.8248,1.3993,0.6721,1,1.7489,10
"7","M1","D1","H2",3.1917,1.7257,0.1934,1,5.5462,7
"8","M1","D1","H3",0,4.8559,0,1,2.7047,6
"9","M1","D1","H4",0.002,6.5674,0,1,4.2617,8
"10","M1","D1","H5",0.0092,3.0937,0.0092,1,1.654,8
"11","M1","D1","M1",12.5771,1.8943,4.4254,1,1.8021,8
"12","M1","D1","M2",11.5527,2.6581,3.5527,1,1.6648,5
"13","M1","D1","M3",8.676,1.9191,2.645,1,2.6578,7
"14","M1","D1","M4",11.1978,0.1968,4.9158,1,0.7724,9
"15","M1","D1","M5",3.717,2.9253,3.6109,1,2.2933,1
"16","M1","D1","O1",4.0815,0.1844,6.7902,1,0.2283,4
"17","M1","D1","O2",2.1173,0.1626,5.3219,1,0.3319,3
"18","M1","D1","O3",5.9163,0.499,8.9733,1,1.0888,8
"19","M1","D1","O4",2.961,0.0953,7.815,1,0.1142,6
"20","M1","D1","O5",2.1144,0.0092,9.2445,1,0.0248,2
"21","M1","D1","R1",0.9765,0.7707,3.4162,1,1.3899,7
"22","M1","D1","R2",2.9191,2.11,2.311,1,2.1787,7
"23","M1","D1","R3",2.2901,0.0385,3.5179,1,0.0554,7
"24","M1","D1","R4",2.9371,0.369,3.3928,1,0.4053,2
"25","M1","D1","R5",3.1594,1.1213,1.9134,1,0.783,6
"26","M1","D2","A1",7.8241,0.6086,4.7141,1,0.6435,4
"27","M1","D2","A2",8.7073,2.0349,4.1525,1,2.601,4
"28","M1","D2","A3",8.2332,1.6172,3.0589,1,1.4294,7
"29","M1","D2","A4",14.5219,0.6605,5.6671,1,0.9317,10
"30","M1","D2","A5",10.6724,0.16,3.2591,1,0.8229,7
