"Richness_ID","Density_ID","Rep","species","ind","leaf_rep","leaf_area_cm2","biomass_mg","sla"
"M1","D1","A4","ANGE",1,1,1.215,4,0.3
"M1","D1","A4","ANGE",1,2,1.218,4,0.3
"M1","D1","A4","ANGE",1,3,0.992,3,0.33
"M1","D1","A3","ANGE",3,1,7.107,35,0.2
"M1","D1","A3","ANGE",3,2,4.236,19,0.22
"M1","D1","A3","ANGE",3,3,6.916,32,0.22
"M1","D1","A3","ANGE",3,4,5.955,32,0.19
"M1","D1","A3","ANGE",3,5,5.779,24,0.24
"M1","D1","A2","ANGE",2,1,7.985,36,0.22
"M1","D1","A2","ANGE",2,3,4.528,17,0.27
"M1","D1","A2","ANGE",2,4,2.952,10,0.3
"M1","D1","A2","ANGE",2,5,7.138,35,0.2
"M1","D1","A5","ANGE",5,1,3.593,14,0.26
"M1","D1","A5","ANGE",5,2,5.495,23,0.24
"M1","D1","A5","ANGE",5,3,5.197,20,0.26
"M1","D1","A1","ANGE",4,1,5.616,28,0.2
"M1","D1","A1","ANGE",4,2,4.835,26,0.19
"M1","D1","A1","ANGE",4,3,5.229,29,0.18
"M1","D1","A1","ANGE",4,4,5.372,28,0.19
"M1","D2","A5","ANGE",5,2,1.948,6,0.32
"M1","D2","A5","ANGE",5,3,2.367,9,0.26
"M1","D2","A5","ANGE",5,4,3.517,14,0.25
"M1","D2","A5","ANGE",5,5,3.042,12,0.25
"M1","D2","A2","ANGE",3,1,6.168,26,0.24
"M1","D2","A2","ANGE",3,2,6.366,25,0.25
"M1","D2","A2","ANGE",3,3,4.717,18,0.26
"M1","D2","A4","ANGE",1,1,8.383,40,0.21
"M1","D2","A4","ANGE",1,2,9.067,45,0.2
"M1","D2","A4","ANGE",1,3,4.083,20,0.2
"M1","D2","A4","ANGE",1,4,7.775,32,0.24
"M1","D2","A4","ANGE",1,5,2.003,5,0.4
"M1","D2","A3","ANGE",2,1,5.771,20,0.29
"M1","D2","A3","ANGE",2,2,4.597,29,0.16
"M1","D2","A3","ANGE",2,3,6.304,28,0.23
"M1","D2","A3","ANGE",2,4,1.236,6,0.21
"M1","D2","A3","ANGE",2,5,1.625,6,0.27
"M1","D2","A1","ANGE",4,1,7.132,32,0.22
"M1","D2","A1","ANGE",4,2,3.37,12,0.28
"M1","D2","A1","ANGE",4,3,6.581,31,0.21
"M1","D3","A1","ANGE",3,1,3.491,7,0.5
"M1","D3","A1","ANGE",3,2,3.799,17,0.22
"M1","D3","A1","ANGE",3,3,0.499,1,0.5
"M1","D3","A5","ANGE",1,3,6.616,27,0.25
"M1","D3","A3","ANGE",5,1,4.549,17,0.27
"M1","D3","A3","ANGE",5,2,4.164,16,0.26
"M1","D3","A3","ANGE",5,3,2.958,11,0.27
"M1","D3","A4","ANGE",4,1,4.66,13,0.36
"M1","D3","A4","ANGE",4,2,8.457,38,0.22
"M1","D3","A4","ANGE",4,3,8.471,44,0.19
"M1","D3","A2","ANGE",2,1,4.505,18,0.25
"M1","D3","A2","ANGE",2,2,1.421,7,0.2
"M1","D3","A2","ANGE",2,3,4.52,18,0.25
"M1","D3","O4","OEBI",1,1,2.058,12,0.17
"M1","D3","O4","OEBI",1,2,1.731,7,0.25
"M1","D3","O4","OEBI",1,3,2.957,22,0.13
"M1","D3","O4","OEBI",1,4,2.578,17,0.15
"M1","D3","O4","OEBI",1,5,2.641,18,0.15
"M1","D3","O2","OEBI",2,1,1.57,7,0.22
"M1","D3","O2","OEBI",2,2,2.469,15,0.16
"M1","D3","O2","OEBI",2,3,3.274,22,0.15
"M1","D3","O2","OEBI",2,4,2.406,16,0.15
"M1","D3","O2","OEBI",2,5,2.357,14,0.17
"M1","D3","O1","OEBI",5,1,4.445,42,0.11
"M1","D3","O1","OEBI",5,2,3.696,33,0.11
"M1","D3","O1","OEBI",5,3,2.885,20,0.14
"M1","D3","O1","OEBI",5,4,4.281,45,0.1
"M1","D3","O1","OEBI",5,5,4.532,49,0.09
"M1","D3","O3","OEBI",4,1,3.912,29,0.13
"M1","D3","O3","OEBI",4,2,3.479,26,0.13
"M1","D3","O3","OEBI",4,3,2.556,16,0.16
"M1","D3","O3","OEBI",4,4,3.503,27,0.13
"M1","D3","O3","OEBI",4,5,3.286,24,0.14
"M1","D3","O5","OEBI",3,1,1.91,9,0.21
"M1","D3","O5","OEBI",3,2,2.317,13,0.18
"M1","D3","O5","OEBI",3,3,1.624,9,0.18
"M1","D3","O5","OEBI",3,4,1.192,4,0.3
"M1","D3","O5","OEBI",3,5,3.215,20,0.16
"M1","D2","O1","OEBI",4,1,2.572,25,0.1
"M1","D2","O1","OEBI",4,2,1.837,14,0.13
"M1","D2","O1","OEBI",4,3,2.55,25,0.1
"M1","D2","O1","OEBI",4,4,1.972,17,0.12
"M1","D2","O1","OEBI",4,5,1.986,13,0.15
"M1","D2","O2","OEBI",5,1,4.891,55,0.09
"M1","D2","O2","OEBI",5,2,4.878,53,0.09
"M1","D2","O2","OEBI",5,3,4.961,59,0.08
"M1","D2","O2","OEBI",5,4,3.087,26,0.12
"M1","D2","O2","OEBI",5,5,3.732,38,0.1
"M1","D2","O3","OEBI",2,1,10.857,117,0.09
"M1","D2","O3","OEBI",2,2,6.325,48,0.13
"M1","D2","O3","OEBI",2,3,8.324,74,0.11
"M1","D2","O3","OEBI",2,4,7.357,70,0.11
"M1","D2","O3","OEBI",2,5,8.539,81,0.11
"M1","D2","O4","OEBI",1,1,5.9911,57,0.11
"M1","D2","O4","OEBI",1,3,3.245,25,0.13
"M1","D2","O4","OEBI",1,4,4.272,40,0.11
"M1","D2","O4","OEBI",1,5,3.901,33,0.12
"M1","D2","O5","OEBI",3,1,3.946,45,0.09
"M1","D2","O5","OEBI",3,2,8.027,102,0.08
"M1","D2","O5","OEBI",3,3,2.352,24,0.1
"M1","D2","O5","OEBI",3,4,3.518,43,0.08
"M1","D2","O5","OEBI",3,5,1.61,12,0.13
"M1","D1","O1","OEBI",1,1,5.689,49,0.12
"M1","D1","O1","OEBI",1,2,5.422,43,0.13
"M1","D1","O1","OEBI",1,3,3.653,19,0.19
"M1","D1","O1","OEBI",1,4,7.198,66,0.11
"M1","D1","O2","OEBI",5,1,8.163,88,0.09
"M1","D1","O2","OEBI",5,3,8.743,89,0.1
"M1","D1","O2","OEBI",5,4,8.722,96,0.09
"M1","D1","O2","OEBI",5,5,6.926,67,0.1
"M1","D1","O3","OEBI",3,1,11.678,139,0.08
"M1","D1","O3","OEBI",3,2,6.227,77,0.08
"M1","D1","O3","OEBI",3,3,3.593,41,0.09
"M1","D1","O3","OEBI",3,4,6.486,81,0.08
"M1","D1","O3","OEBI",3,5,4.994,60,0.08
"M1","D1","O4","OEBI",2,1,7.979,97,0.08
"M1","D1","O4","OEBI",2,2,7.826,94,0.08
"M1","D1","O4","OEBI",2,3,6.536,67,0.1
"M1","D1","O4","OEBI",2,4,6.182,50,0.12
"M1","D1","O4","OEBI",2,5,6.732,67,0.1
"M1","D1","O5","OEBI",4,1,6.934,75,0.09
"M1","D1","O5","OEBI",4,2,4.348,41,0.11
"M1","D1","O5","OEBI",4,3,8.146,97,0.08
"M1","D1","O5","OEBI",4,4,5.187,54,0.1
"M1","D1","O5","OEBI",4,5,6.034,63,0.1
"M1","D1","R1","RUHI",4,1,4.551,38,0.12
"M1","D1","R1","RUHI",4,2,9.053,78,0.12
"M1","D1","R1","RUHI",4,3,3.914,35,0.11
"M1","D1","R1","RUHI",4,4,10.897,73,0.15
"M1","D1","R1","RUHI",4,5,2.883,24,0.12
"M1","D1","R2","RUHI",2,1,5.209,42,0.12
"M1","D1","R2","RUHI",2,2,2.963,25,0.12
"M1","D1","R2","RUHI",2,3,1.518,8,0.19
"M1","D1","R2","RUHI",2,4,6.015,32,0.19
"M1","D1","R2","RUHI",2,5,5.977,44,0.14
"M1","D1","R3","RUHI",1,1,4.015,34,0.12
"M1","D1","R3","RUHI",1,2,3.652,26,0.14
"M1","D1","R3","RUHI",1,3,4.558,38,0.12
"M1","D1","R3","RUHI",1,4,5.873,58,0.1
"M1","D1","R3","RUHI",1,5,7.766,61,0.13
"M1","D1","R4","RUHI",5,1,5.824,42,0.14
"M1","D1","R4","RUHI",5,2,5.966,37,0.16
"M1","D1","R4","RUHI",5,3,1.876,15,0.13
"M1","D1","R4","RUHI",5,4,2.814,24,0.12
"M1","D1","R4","RUHI",5,5,3.056,27,0.11
"M1","D1","R5","RUHI",3,1,2.993,19,0.16
"M1","D1","R5","RUHI",3,2,6.662,44,0.15
"M1","D1","R5","RUHI",3,3,1.613,11,0.15
"M1","D1","R5","RUHI",3,5,3.576,26,0.14
"M1","D2","R1","RUHI",1,1,9.817,65,0.15
"M1","D2","R1","RUHI",1,2,5.236,43,0.12
"M1","D2","R1","RUHI",1,3,8.07,60,0.13
"M1","D2","R1","RUHI",1,4,6.31,49,0.13
"M1","D2","R1","RUHI",1,5,3.449,29,0.12
"M1","D2","R2","RUHI",5,1,3.832,37,0.1
"M1","D2","R2","RUHI",5,2,7.531,60,0.13
"M1","D2","R2","RUHI",5,3,6.253,55,0.11
"M1","D2","R2","RUHI",5,4,3.681,29,0.13
"M1","D2","R2","RUHI",5,5,4.149,36,0.12
"M1","D2","R3","RUHI",4,1,3.287,21,0.16
"M1","D2","R3","RUHI",4,2,1.995,13,0.15
"M1","D2","R3","RUHI",4,3,3.866,24,0.16
"M1","D2","R3","RUHI",4,4,5.226,30,0.17
"M1","D2","R3","RUHI",4,5,4.173,25,0.17
"M1","D2","R4","RUHI",2,1,4.439,34,0.13
"M1","D2","R4","RUHI",2,2,5.536,39,0.14
"M1","D2","R4","RUHI",2,3,5.076,40,0.13
"M1","D2","R4","RUHI",2,4,5.236,18,0.29
"M1","D2","R5","RUHI",3,1,5.67,49,0.12
"M1","D2","R5","RUHI",3,2,6.622,59,0.11
"M1","D2","R5","RUHI",3,3,6.934,33,0.21
"M1","D2","R5","RUHI",3,4,5.265,56,0.09
"M1","D2","R5","RUHI",3,5,2.955,22,0.13
"M1","D1","R3","RUHI",1,1,4.015,34,0.12
"M1","D1","R3","RUHI",1,2,3.652,26,0.14
"M1","D1","R3","RUHI",1,3,4.558,38,0.12
"M1","D1","R3","RUHI",1,4,5.873,58,0.1
"M1","D1","R3","RUHI",1,5,7.766,61,0.13
"M1","D1","R4","RUHI",5,1,5.824,42,0.14
"M1","D1","R4","RUHI",5,2,5.966,37,0.16
"M1","D1","R4","RUHI",5,3,1.876,15,0.13
"M1","D1","R4","RUHI",5,4,2.814,24,0.12
"M1","D1","R4","RUHI",5,5,3.056,27,0.11
"M1","D1","R5","RUHI",3,1,2.993,19,0.16
"M1","D1","R5","RUHI",3,2,6.662,44,0.15
"M1","D1","R5","RUHI",3,3,1.613,11,0.15
"M1","D1","R5","RUHI",3,5,3.576,26,0.14
"M1","D3","R1","RUHI",1,1,7.322,61,0.12
"M1","D3","R1","RUHI",1,2,10.733,87,0.12
"M1","D3","R1","RUHI",1,3,10.816,62,0.17
"M1","D3","R1","RUHI",1,4,11.851,79,0.15
"M1","D3","R1","RUHI",1,5,8.836,73,0.12
"M1","D3","R2","RUHI",2,1,3.664,30,0.12
"M1","D3","R2","RUHI",2,2,4.459,32,0.14
"M1","D3","R2","RUHI",2,3,3.035,26,0.12
"M1","D3","R2","RUHI",2,4,5.779,31,0.19
"M1","D3","R2","RUHI",2,5,2.373,18,0.13
"M1","D3","R3","RUHI",4,1,3.073,28,0.11
"M1","D3","R3","RUHI",4,4,3.607,29,0.12
"M1","D3","R4","RUHI",3,1,4.541,17,0.27
"M1","D3","R4","RUHI",3,2,3.102,32,0.1
"M1","D3","R4","RUHI",3,3,5.279,35,0.15
"M1","D3","R4","RUHI",3,4,5.751,32,0.18
"M1","D3","R5","RUHI",5,1,6.714,43,0.16
"M1","D3","R5","RUHI",5,2,5.882,45,0.13
"M1","D3","R5","RUHI",5,3,3.597,29,0.12
"M1","D3","R5","RUHI",5,4,4.555,23,0.2
"M1","D1","M1","MOFI",5,1,5.777,45,0.13
"M1","D1","M1","MOFI",5,2,8.057,54,0.15
"M1","D1","M1","MOFI",5,3,10.824,60,0.18
"M1","D1","M1","MOFI",5,4,8.064,53,0.15
"M1","D1","M1","MOFI",5,5,10.999,66,0.17
"M1","D1","M2","MOFI",1,1,8.482,62,0.14
"M1","D1","M2","MOFI",1,2,11.385,58,0.2
"M1","D1","M2","MOFI",1,3,11.449,71,0.16
"M1","D1","M2","MOFI",1,4,11.236,72,0.16
"M1","D1","M2","MOFI",1,5,8.406,59,0.14
"M1","D1","M3","MOFI",4,2,7.636,57,0.13
"M1","D1","M3","MOFI",4,3,7.001,55,0.13
"M1","D1","M3","MOFI",4,4,6.657,33,0.2
"M1","D1","M3","MOFI",4,5,6.43,34,0.19
